site_code,rsid,start_date,end_date,panel,table,reportlet,dimension,dimension_name,device,itemId,dim_value,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,seg_value1,seg_value2,seg_value3,seg_value4,seg_value5,seg_value6,seg_value7,seg_value8,seg_value9,seg_value10,seg_value11,seg_value12,seg_value13,seg_value14,seg_value15,seg_value16,seg_value17,seg_value18,seg_value19,seg_value20
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,,(summary),5266539.0,4426510.0,1408148.0,7096099.0,875363.0,713131.0,433900.0,1556927.0,327293.0,187850.0,326963.0,1024971.0,36.0,34.0,35.0,73.0,18874.0,11386.0,18843.0,47789.0,Visits;; [Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] Others; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Others; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Others; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Others; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] iOS; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] iOS; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] iOS; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] iOS; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES)
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_entry,Shop DIV1 Entry,,,,,(summary),4996935.0,3858349.0,740674.0,441459.0,6883.0,56.0,9343.0,24.0,4.0,1.0,,,,,,,,,,,Entries;; [Device] Mobile; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Mobile; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] PC; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] PC; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] Android; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Android; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] iOS; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] iOS; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] Others; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Others; [Global] DIV1 Entry; [part_name] Entry All Page Track(PAGE_TYPES),,,,,,,,,,
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_order,Shop DIV1 Order,,,,,(summary),17109.0,9230702.05,9178.0,6458149.73,8464.0,6567315.7,588.0,542186.75,2.0,1949.98,,,,,,,,,,,Order (purchase event);; [Device] Mobile; [Global] DIV1 Order; All Visits,Revenue (purchase event);; [Device] Mobile; [Global] DIV1 Order; All Visits,Order (purchase event);; [Device] Android; [Global] DIV1 Order; All Visits,Revenue (purchase event);; [Device] Android; [Global] DIV1 Order; All Visits,Order (purchase event);; [Device] PC; [Global] DIV1 Order; All Visits,Revenue (purchase event);; [Device] PC; [Global] DIV1 Order; All Visits,Order (purchase event);; [Device] iOS; [Global] DIV1 Order; All Visits,Revenue (purchase event);; [Device] iOS; [Global] DIV1 Order; All Visits,Order (purchase event);; [Device] Others; [Global] DIV1 Order; All Visits,Revenue (purchase event);; [Device] Others; [Global] DIV1 Order; All Visits,,,,,,,,,,
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div2_visit,Shop DIV2 Visit,,,,,(summary),639420.0,492943.0,313490.0,1033999.0,408085.0,347417.0,223391.0,767731.0,42122.0,29142.0,41572.0,141577.0,8678.0,5789.0,8611.0,23451.0,4.0,4.0,2.0,5.0,Visits;; [Device] Mobile; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Mobile; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Mobile; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Mobile; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] PC; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] PC; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] PC; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] PC; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] Android; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Android; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Android; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Android; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] iOS; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] iOS; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] iOS; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] iOS; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Visits;; [Device] Others; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Unique Visitors;; [Device] Others; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Non bounced visit;; [Device] Others; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES),Page Views;; [Device] Others; [Global] DIV2 Visit; [part_name] All Page Track(PAGE_TYPES)
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div2_entry,Shop DIV2 Entry,,,,,(summary),541820.0,325920.0,328496.0,184692.0,820.0,26.0,4344.0,44.0,2.0,2.0,,,,,,,,,,,Entries;; [Device] Mobile; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Mobile; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] PC; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] PC; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] Android; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Android; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] iOS; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] iOS; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Entries;; [Device] Others; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),Bounces;; [Device] Others; [Global] DIV2 Entry; [part_name] Entry All Page Track(PAGE_TYPES),,,,,,,,,,
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div2_order,Shop DIV2 Order,,,,,(summary),4316.0,1891907.6,2284.0,2241775.67,345.0,317075.78,181.0,228880.73,0.0,0.0,,,,,,,,,,,Order (purchase event);; [Device] Mobile; [Global] DIV2 Order; All Visits,Revenue (purchase event);; [Device] Mobile; [Global] DIV2 Order; All Visits,Order (purchase event);; [Device] PC; [Global] DIV2 Order; All Visits,Revenue (purchase event);; [Device] PC; [Global] DIV2 Order; All Visits,Order (purchase event);; [Device] Android; [Global] DIV2 Order; All Visits,Revenue (purchase event);; [Device] Android; [Global] DIV2 Order; All Visits,Order (purchase event);; [Device] iOS; [Global] DIV2 Order; All Visits,Revenue (purchase event);; [Device] iOS; [Global] DIV2 Order; All Visits,Order (purchase event);; [Device] Others; [Global] DIV2 Order; All Visits,Revenue (purchase event);; [Device] Others; [Global] DIV2 Order; All Visits,,,,,,,,,,
